Weather,Time of Day (minutes),Number of People
rainy,9009,88
rainy,9166,93
snowy,7796,58
sunny,1396,22
snowy,5260,63
rainy,136,64
sunny,4447,31
windy,5549,58
windy,1622,39
sunny,59,28
sunny,2574,25
windy,3038,50
sunny,7876,29
windy,7541,52
snowy,2843,59
sunny,3898,38
rainy,2585,106
windy,4030,28
snowy,5799,24
windy,8367,41
snowy,671,46
rainy,1610,64
windy,8599,34
snowy,6112,61
sunny,9524,30
sunny,3931,20
snowy,1029,46
sunny,7923,35
windy,3982,60
windy,3315,47
windy,1317,23
sunny,8243,21
windy,8615,50
snowy,9632,34
windy,6873,21
windy,406,8
snowy,2203,83
windy,6904,0
windy,7938,32
snowy,4978,62
rainy,6484,82
rainy,9556,100
rainy,8219,81
sunny,9725,22
sunny,3689,19
rainy,7250,87
snowy,2355,39
sunny,144,5
snowy,9698,72
rainy,7217,80
rainy,1771,67
rainy,4849,72
snowy,9122,63
rainy,9561,95
sunny,4740,17
sunny,6092,5
windy,9762,51
sunny,1906,5
windy,7565,56
snowy,7597,65
rainy,3713,97
snowy,1557,49
windy,7636,4
rainy,9316,70
sunny,7592,13
windy,5725,46
snowy,8084,62
rainy,5452,92
snowy,9521,55
sunny,8704,0
windy,8117,20
snowy,276,48
snowy,7628,70
snowy,9212,57
rainy,844,78
sunny,5794,34
sunny,4696,5
windy,2527,41
rainy,8255,76
windy,5441,48
sunny,6747,24
windy,6195,45
snowy,7106,67
windy,9797,7
windy,6810,42
rainy,7977,64
windy,6099,54
windy,5709,39
snowy,9615,65
snowy,9540,65
sunny,9637,29
snowy,5664,58
sunny,1696,34
sunny,5826,14
snowy,4819,73
rainy,1672,77
sunny,4083,33
snowy,7321,52
sunny,9593,50
sunny,1640,52
sunny,2100,43
sunny,7497,14
snowy,6661,69
windy,5004,37
snowy,7689,58
rainy,342,63
snowy,6725,72
sunny,5697,34
snowy,5965,47
rainy,3159,93
windy,1115,70
sunny,4511,32
snowy,6620,96
snowy,7649,58
snowy,3341,75
snowy,6745,30
snowy,9009,68
windy,9659,58
windy,9595,42
sunny,1969,13
windy,3717,30
snowy,5271,64
sunny,7844,29
sunny,3316,27
sunny,5725,13
windy,447,67
rainy,6183,62
windy,6345,34
windy,6987,45
snowy,8456,45
snowy,7706,55
windy,527,40
sunny,3183,32
snowy,9570,72
sunny,633,50
snowy,1429,76
windy,3479,41
windy,5977,17
sunny,8358,10
snowy,1646,61
rainy,3282,59
rainy,5956,85
windy,8608,41
sunny,672,23
windy,936,70
snowy,7423,53
sunny,2662,40
rainy,4248,86
rainy,8669,76
rainy,5763,92
snowy,346,62
windy,8908,55
windy,9010,45
windy,2495,46
rainy,8806,92
snowy,5465,30
rainy,6684,112
windy,9604,55
sunny,7148,47
rainy,91,93
windy,8477,46
rainy,9932,77
sunny,7993,25
rainy,6226,61
windy,3545,34
sunny,4096,17
snowy,6754,43
rainy,5461,82
windy,5484,57
rainy,7424,88
windy,234,62
rainy,2297,70
windy,1582,40
windy,3390,44
windy,5995,57
rainy,3270,64
rainy,5814,91
windy,2809,52
snowy,3520,47
windy,6043,39
sunny,1925,49
rainy,9744,60
windy,2806,40
sunny,1794,40
snowy,9563,69
snowy,1514,62
sunny,1801,37
sunny,4762,38
snowy,3127,65
windy,3158,28
sunny,8285,41
rainy,1517,56
rainy,4409,92
sunny,9824,5
windy,9188,33
rainy,2896,83
snowy,1326,55
sunny,368,58
sunny,1611,0
rainy,4208,82
sunny,7349,37
windy,968,45
windy,2087,4
snowy,382,66
snowy,8141,63
sunny,8679,33
snowy,4067,58
sunny,8377,23
snowy,9750,25
windy,3613,47
windy,8757,28
snowy,1041,77
snowy,3927,73
rainy,6577,101
rainy,7544,69
sunny,5798,52
sunny,3717,33
sunny,9075,54
sunny,9677,14
windy,1497,16
snowy,3124,78
snowy,2842,66
snowy,1476,30
snowy,3254,62
snowy,2540,66
snowy,1409,56
rainy,8811,70
windy,1409,57
windy,3829,14
rainy,1781,78
sunny,4686,21
rainy,3606,51
rainy,2291,76
windy,7330,34
snowy,819,65
windy,5788,15
snowy,3779,25
windy,1891,45
windy,7597,37
sunny,4949,11
rainy,272,101
sunny,3090,14
rainy,5397,69
windy,7219,53
sunny,2497,39
sunny,3502,41
sunny,3988,47
sunny,2321,37
rainy,1351,73
rainy,4228,59
sunny,2802,45
sunny,8641,43
sunny,4758,34
sunny,9762,20
snowy,9098,78
rainy,2976,60
sunny,1180,68
sunny,6164,39
snowy,8167,54
rainy,1404,91
sunny,5126,20
windy,9150,38
sunny,2943,55
sunny,5939,28
sunny,4278,26
snowy,4413,53
snowy,1121,137
windy,1134,85
sunny,5493,29
rainy,9774,103
windy,3550,35
snowy,5818,46
snowy,6770,71
windy,1087,104
rainy,9057,80
sunny,123,23
sunny,335,19
rainy,25,73
rainy,2923,102
sunny,3086,50
windy,7452,15
snowy,5772,62
sunny,9780,38
sunny,9775,44
windy,626,44
windy,9212,54
sunny,24,9
rainy,5217,102
snowy,6802,56
windy,1234,55
sunny,6473,17
snowy,8677,43
snowy,8837,66
sunny,1511,31
windy,7070,51
windy,5617,45
rainy,3180,87
sunny,9148,30
rainy,8777,40
windy,7044,55
rainy,6784,84
sunny,8070,31
windy,3960,54
rainy,7626,75
sunny,1144,85
sunny,6135,14
rainy,3129,89
rainy,2791,88
rainy,9107,89
sunny,8916,16
windy,4822,15
rainy,1231,68
windy,540,39
windy,1436,31
snowy,709,44
windy,8976,59
windy,5767,44
windy,944,54
snowy,6522,69
sunny,3195,54
windy,381,46
rainy,666,76
windy,7344,18
snowy,2934,68
windy,5721,48
sunny,7760,31
rainy,8923,69
windy,2916,28
sunny,6466,21
sunny,5863,46
sunny,8737,11
sunny,5463,1
sunny,1659,24
sunny,2318,55
rainy,9737,96
rainy,8080,82
snowy,2629,67
snowy,3074,52
windy,8394,61
snowy,2960,55
snowy,3405,39
rainy,1045,73
rainy,9690,79
rainy,7474,54
snowy,3598,37
sunny,8456,38
snowy,745,102
snowy,630,76
sunny,9633,35
snowy,922,71
windy,43,32
rainy,1480,76
sunny,4794,15
snowy,5895,58
windy,751,74
rainy,5404,67
windy,3921,23
snowy,2870,68
rainy,6806,80
sunny,4675,28
windy,6518,34
snowy,7319,62
snowy,252,83
windy,9987,68
snowy,9953,48
windy,7482,41
snowy,2794,57
rainy,3478,112
sunny,1508,27
windy,1125,77
rainy,6958,75
rainy,9269,95
snowy,1615,59
snowy,8234,46
rainy,5530,79
rainy,7604,57
windy,6106,17
sunny,6112,34
sunny,9240,21
sunny,6887,23
windy,7513,28
windy,5913,58
rainy,3860,80
sunny,9662,15
sunny,884,20
snowy,469,53
rainy,6032,88
rainy,7685,66
snowy,5819,69
snowy,4984,60
snowy,7160,53
windy,7463,73
snowy,1087,77
snowy,9132,36
sunny,8034,6
windy,7148,50
rainy,4937,69
rainy,357,79
snowy,5364,66
sunny,2231,22
windy,9693,37
snowy,3254,77
rainy,3208,78
snowy,6669,64
windy,6673,41
windy,852,48
sunny,9277,43
snowy,3641,60
rainy,8523,109
rainy,8153,103
snowy,5464,39
sunny,3635,43
snowy,155,66
windy,8385,28
rainy,6757,78
sunny,8224,32
windy,9517,37
windy,1502,33
snowy,8285,80
rainy,6887,74
sunny,3853,36
sunny,5822,26
sunny,4255,35
rainy,8056,84
rainy,3003,96
snowy,3368,68
rainy,7742,111
windy,6650,43
windy,7152,29
windy,3829,28
windy,5326,65
sunny,8527,19
sunny,9216,17
rainy,665,104
rainy,3966,94
rainy,3032,105
snowy,8036,58
sunny,3126,46
snowy,440,41
snowy,8516,65
sunny,5843,27
rainy,8078,93
sunny,9167,22
sunny,8522,24
windy,1110,107
sunny,6397,20
sunny,5036,0
windy,5788,14
rainy,90,64
rainy,7668,91
sunny,1385,44
windy,9146,20
snowy,3487,73
rainy,423,73
rainy,6372,71
windy,4613,27
snowy,3083,58
rainy,9980,97
snowy,9689,64
rainy,7149,64
windy,934,53
sunny,9663,9
rainy,9513,85
snowy,3667,68
windy,9221,54
rainy,6385,93
sunny,1257,17
rainy,617,75
sunny,2053,0
windy,9374,42
sunny,379,29
sunny,5157,32
snowy,2066,71
windy,4491,25
windy,1363,44
snowy,4111,54
snowy,4091,51
sunny,8014,19
snowy,8301,60
snowy,2401,33
sunny,7230,39
windy,270,38
sunny,4899,40
snowy,4787,77
rainy,5956,78
snowy,1407,63
sunny,9878,47
sunny,6097,41
sunny,9974,29
rainy,832,84
sunny,9395,32
sunny,4437,24
sunny,3237,6
windy,1524,32
rainy,7166,63
sunny,8048,9
snowy,6315,35
sunny,5687,33
sunny,6594,14
sunny,4185,62
snowy,5191,57
snowy,3668,65
windy,4769,13
snowy,922,84
rainy,2797,54
windy,8360,37
rainy,4771,78
sunny,3782,0
snowy,4311,89
sunny,4148,25
snowy,3898,22
windy,8314,33
windy,8704,33
rainy,6983,68
rainy,535,99
windy,2250,24
rainy,5491,72
rainy,8406,104
windy,5853,33
sunny,6064,79
windy,5157,38
snowy,6287,78
sunny,4156,30
sunny,9813,11
windy,4492,8
snowy,3838,56
rainy,2912,81
windy,4130,36
windy,4372,51
rainy,2595,52
snowy,6644,51
windy,3350,17
windy,6482,53
windy,6614,34
sunny,5803,37
sunny,1940,44
sunny,7981,38
rainy,9295,85
sunny,1916,31
sunny,9149,41
snowy,321,107
snowy,3727,66
rainy,2830,73
rainy,9345,90
sunny,4714,17
rainy,2777,73
rainy,8628,80
snowy,2038,66
snowy,5239,66
windy,7709,49
rainy,9648,81
windy,9100,58
windy,4923,66
sunny,460,47
windy,5284,44
windy,1570,52
rainy,2406,80
rainy,3106,84
sunny,1703,27
sunny,227,25
rainy,538,93
windy,3695,24
sunny,9907,18
snowy,8850,81
rainy,9435,82
windy,4314,68
windy,8148,45
windy,8948,45
snowy,8980,65
sunny,5278,21
sunny,8095,5
rainy,4721,61
snowy,9341,73
sunny,6999,36
sunny,9951,52
windy,1728,20
windy,7188,26
sunny,5723,45
windy,5591,35
sunny,870,20
rainy,4177,80
windy,2586,37
windy,4555,31
rainy,4846,73
sunny,9772,29
snowy,8480,74
rainy,3590,86
sunny,2431,34
snowy,8912,78
windy,2542,21
sunny,9943,59
snowy,6180,43
snowy,3744,66
windy,842,37
sunny,1323,56
snowy,2473,86
rainy,2537,99
windy,1094,84
rainy,7525,89
sunny,622,0
snowy,8051,52
sunny,1185,79
snowy,7825,74
windy,2435,61
rainy,4139,78
sunny,4134,27
sunny,4090,44
snowy,2674,70
rainy,5091,119
windy,7715,30
windy,6161,22
snowy,454,65
windy,9780,39
snowy,2198,79
snowy,9154,63
windy,9332,72
rainy,5417,79
windy,6721,14
rainy,2035,73
sunny,7593,12
snowy,7476,76
rainy,754,113
rainy,1506,87
windy,5032,13
sunny,9283,18
windy,5870,42
snowy,4056,76
rainy,2894,93
windy,6217,37
windy,1870,61
snowy,8712,77
snowy,2457,56
snowy,5107,52
sunny,208,29
windy,6186,43
snowy,699,66
sunny,10066,23
snowy,9168,36
rainy,7802,75
windy,5896,27
rainy,3612,65
sunny,3341,4
snowy,9599,80
sunny,6974,14
rainy,2846,84
snowy,3959,53
sunny,3959,25
rainy,7594,75
sunny,206,18
sunny,351,36
snowy,595,71
rainy,3042,81
windy,6224,45
windy,4195,39
sunny,5431,13
rainy,2701,71
sunny,7426,22
windy,667,9
windy,5352,28
rainy,4711,94
rainy,9056,72
sunny,6207,21
rainy,5792,109
sunny,8557,27
windy,542,76
rainy,1208,72
windy,6821,39
windy,8226,42
rainy,2421,66
snowy,3291,63
rainy,4573,90
rainy,3919,95
windy,1290,35
windy,29,36
windy,9999,34
rainy,1806,87
windy,9266,10
snowy,7199,69
sunny,2497,26
sunny,6536,36
snowy,3948,38
snowy,6049,81
snowy,9859,66
windy,1966,32
windy,1623,11
sunny,4774,53
rainy,7641,80
windy,6612,45
windy,7466,51
windy,1621,12
snowy,4639,60
snowy,2929,50
sunny,2378,19
windy,10052,67
snowy,7122,49
rainy,1207,77
snowy,9751,40
snowy,8900,81
rainy,7162,104
sunny,4591,8
windy,3548,11
sunny,7026,27
snowy,3412,66
rainy,706,87
rainy,3749,85
windy,4151,52
windy,5444,42
sunny,8028,23
snowy,7183,41
sunny,5990,0
windy,1494,40
snowy,7546,88
rainy,7468,102
windy,539,34
rainy,7501,67
windy,4295,7
rainy,8051,91
rainy,764,96
sunny,6112,16
sunny,3837,0
windy,6079,41
sunny,3675,0
sunny,2419,58
windy,5527,37
snowy,5374,53
windy,6053,42
snowy,9704,69
sunny,2950,27
sunny,1911,18
windy,7293,58
sunny,183,23
snowy,3577,60
windy,9771,34
windy,3971,45
snowy,9830,57
sunny,4387,17
snowy,7537,60
snowy,829,63
snowy,8747,53
sunny,8124,38
windy,4123,35
rainy,8942,87
windy,1885,36
sunny,5127,26
snowy,5692,59
rainy,7705,74
snowy,4273,46
sunny,5552,17
rainy,1397,88
rainy,16,76
windy,3823,62
windy,1655,49
snowy,7678,71
windy,1594,22
snowy,9711,47
sunny,8168,0
windy,3298,23
sunny,7557,24
windy,2959,29
windy,4266,52
sunny,2944,22
snowy,7698,92
windy,1932,0
snowy,7254,64
snowy,2127,50
snowy,4986,50
sunny,5568,26
sunny,328,25
snowy,5978,84
windy,8808,46
sunny,6408,43
sunny,5374,30
snowy,1731,42
windy,1224,58
rainy,8743,34
snowy,4871,60
rainy,6024,75
windy,2379,29
snowy,2335,62
windy,5631,43
snowy,9201,81
snowy,3771,84
snowy,6821,81
rainy,9076,68
rainy,6549,86
sunny,5749,15
sunny,6365,48
rainy,3684,73
snowy,1896,65
windy,5213,20
snowy,4712,60
sunny,5874,24
sunny,9126,42
snowy,5367,46
sunny,5683,59
snowy,8156,62
snowy,1423,49
rainy,1713,84
rainy,6033,69
rainy,3559,77
rainy,4996,68
rainy,501,91
snowy,9783,59
rainy,2708,82
snowy,7831,36
windy,161,46
sunny,3223,0
windy,9192,39
rainy,5015,91
sunny,9798,43
snowy,8609,52
windy,6514,69
sunny,7393,33
snowy,8005,81
snowy,6128,49
sunny,3985,57
sunny,9249,37
rainy,5369,78
snowy,8007,71
windy,2303,48
rainy,6684,106
sunny,3097,58
windy,8687,22
windy,1782,41
sunny,447,24
sunny,6258,27
windy,6633,39
rainy,773,139
snowy,648,56
rainy,1730,90
rainy,8188,88
snowy,9546,61
windy,5287,27
windy,3798,46
windy,170,19
sunny,5445,38
snowy,1520,63
sunny,1404,46
rainy,1440,78
snowy,5963,77
rainy,7429,79
rainy,1631,70
windy,7098,24
snowy,9249,64
snowy,1249,59
windy,8444,42
rainy,783,77
rainy,2465,64
snowy,6768,57
windy,3762,43
windy,9846,4
sunny,5467,14
windy,6499,33
rainy,7642,76
snowy,1723,45
rainy,9970,63
snowy,6083,56
snowy,5771,66
rainy,4832,78
rainy,4516,67
windy,1996,53
windy,668,15
windy,5364,40
windy,8639,45
rainy,1141,134
sunny,1647,66
sunny,3643,20
snowy,4634,49
snowy,3337,28
windy,2278,38
rainy,9192,74
sunny,3186,19
windy,6662,53
windy,3240,33
snowy,2116,75
snowy,528,51
sunny,8097,15
sunny,2830,40
sunny,3627,33
rainy,9294,96
windy,5930,34
sunny,4575,33
rainy,533,83
snowy,2473,51
snowy,6519,61
rainy,4894,62
sunny,5267,41
snowy,9077,54
sunny,4700,13
rainy,122,66
windy,4402,53
rainy,3802,75
rainy,2438,70
rainy,6423,48
rainy,1289,64
sunny,5589,39
windy,7531,35
windy,7917,44
snowy,6754,65
rainy,1570,92
windy,6529,55
rainy,6864,71
windy,211,17
sunny,5614,12
rainy,1290,58
sunny,6095,30
rainy,9815,68
windy,8323,59
sunny,4506,46
snowy,3503,78
windy,7971,12
windy,1042,71
rainy,5492,49
snowy,2889,60
rainy,3052,91
rainy,160,68
snowy,8696,72
sunny,5522,20
snowy,1876,39
snowy,6745,51
windy,2870,37
rainy,7691,81
windy,2255,57
rainy,532,96
snowy,421,63
snowy,7514,70
rainy,4122,86
sunny,5674,43
rainy,3103,62
windy,7211,28
snowy,2349,32
snowy,1640,60
windy,778,84
sunny,2118,29
windy,6315,37
rainy,3974,51
windy,1338,48
rainy,9546,88
sunny,5246,28
rainy,210,73
rainy,8090,59
sunny,1503,45
windy,7268,38
sunny,384,8
windy,1118,101
windy,7706,51
windy,9946,44
snowy,2769,65
windy,7228,48
windy,7329,44
sunny,6674,44
windy,6564,26
rainy,4714,82
snowy,180,62
snowy,8453,49
snowy,2463,52
sunny,8642,29
sunny,878,27
rainy,7164,94
windy,166,24
snowy,1215,63
windy,6816,39
rainy,6963,78
rainy,9897,63
rainy,7206,51
windy,5885,52
windy,171,40
snowy,5213,78
snowy,7536,60
snowy,3049,72
sunny,2375,29
sunny,993,12
snowy,3828,82
rainy,2413,77
rainy,4825,79
rainy,5255,102
snowy,9153,41
snowy,1634,71
sunny,924,44
rainy,8598,85
sunny,4408,6
snowy,852,73
snowy,6782,49
snowy,224,61
snowy,8425,70
snowy,5568,62
sunny,8022,33
sunny,7765,5
windy,5524,40
windy,8642,27
snowy,1602,77
windy,2039,46
snowy,9354,52
sunny,8233,43
windy,1008,43
windy,9660,38
rainy,2558,57
sunny,10011,34
windy,3729,70
windy,2409,46
snowy,5251,62
rainy,8437,79
rainy,8147,89
snowy,3111,68
rainy,9093,74
snowy,528,68
rainy,126,98
snowy,7292,61
snowy,5055,45
rainy,7612,92
sunny,2081,46
rainy,7370,91
rainy,8408,67
sunny,5066,44
windy,7071,39
sunny,9557,58
rainy,632,89
sunny,5069,48
rainy,9709,99
sunny,539,25
snowy,8989,59
sunny,8742,7
sunny,9320,22
sunny,8340,28
windy,6528,45
snowy,9088,47
rainy,6460,68
windy,9139,18
windy,2928,36
rainy,9086,80
windy,9755,21
snowy,9608,58
snowy,2062,55
snowy,1229,66
sunny,5995,48
snowy,8386,77
snowy,1960,33
windy,3039,44
windy,7902,54
windy,3516,48
rainy,7534,90
snowy,2655,70
rainy,9443,60
snowy,2779,52
windy,1737,63
rainy,0,73
snowy,6748,78
sunny,5086,40
snowy,6862,89
snowy,3127,52
snowy,2472,86
snowy,5110,55
sunny,566,22
snowy,6096,51
windy,6351,10
rainy,5175,97
rainy,8392,69
rainy,8972,98
snowy,8622,68
windy,3969,50
windy,7751,70
snowy,7711,41
rainy,10072,85
windy,8835,28
sunny,5128,37
snowy,9814,85
snowy,6365,63
snowy,996,56
snowy,8273,70
windy,1856,33
sunny,727,76
rainy,5427,64
rainy,6376,83
sunny,3708,30
sunny,4987,34
windy,8755,57
rainy,433,72
windy,8118,38
windy,6103,45
sunny,4133,25
rainy,5536,71
snowy,3107,60
sunny,659,36
windy,5991,62
snowy,9151,63
windy,4335,51
snowy,9899,36
sunny,4977,19
sunny,6798,21
rainy,591,67
snowy,1305,71
sunny,1076,3
windy,9705,52
sunny,6995,29
windy,4206,30
snowy,4943,41
rainy,6633,68
rainy,893,80
rainy,5103,80
sunny,6515,18
windy,8837,44
windy,4839,28
snowy,870,37
snowy,3428,88
windy,4058,46
rainy,5772,88
snowy,3529,85
sunny,3144,3
snowy,6463,82
sunny,1973,71
sunny,6083,0
rainy,1650,109
sunny,2215,10
rainy,8738,74
snowy,8915,68
sunny,4579,32
windy,9784,51
windy,7659,69
snowy,249,54
sunny,3012,46
windy,7758,30
rainy,8873,103
windy,1754,46
windy,4137,36
rainy,9156,64
snowy,3651,69
rainy,5580,62
rainy,593,101
rainy,9335,81
snowy,5043,68
rainy,8937,72
sunny,2834,12
windy,1417,54
snowy,7967,108
windy,1243,62
sunny,8719,47
sunny,8575,52
snowy,3094,54
snowy,3188,49
windy,2196,46
windy,3664,37
windy,9851,21
rainy,5012,64
windy,1311,1
snowy,1365,48
rainy,5736,108
sunny,7417,11
rainy,2061,82
snowy,3037,50
snowy,9982,53
rainy,2026,87
rainy,861,50
sunny,3589,56
windy,219,47
snowy,6172,53
sunny,9933,45
windy,6640,31
snowy,4106,72
windy,3961,54
windy,1752,21
snowy,4287,52
snowy,5143,77
sunny,530,49
windy,5029,35
sunny,6982,60
snowy,5928,74
snowy,4570,71
rainy,1887,81
windy,9189,52
rainy,8316,107
rainy,7182,78
snowy,1314,73
snowy,5138,60
rainy,4238,87
rainy,2147,76
snowy,3974,61
rainy,9832,78
sunny,4997,36
snowy,5800,65
rainy,743,116
snowy,8131,69
windy,5225,43
rainy,5373,57
sunny,2532,23
sunny,5691,36
windy,3053,49
windy,5787,44
snowy,6152,71
windy,6547,29
windy,9927,52
snowy,609,73
windy,1051,50
rainy,9907,103
rainy,621,89
windy,5302,32
windy,2186,50
snowy,2015,39
rainy,2807,83
rainy,7748,87
rainy,880,76
sunny,7270,11
snowy,7980,51
windy,9907,48
windy,9049,21
windy,8748,46
sunny,704,43
sunny,1926,32
windy,1644,62
rainy,1896,60
sunny,5574,18
sunny,9147,15
snowy,1507,53
windy,8401,38
sunny,4019,56
sunny,4015,27
windy,6943,43
rainy,802,100
snowy,1206,44
snowy,3546,49
snowy,7743,72
sunny,5573,10
snowy,3261,57
sunny,2897,13
snowy,3431,65
rainy,1597,99
windy,4365,41
windy,2559,49
rainy,1233,85
snowy,38,56
sunny,7754,36
windy,6849,19
windy,1442,14
rainy,7203,75
windy,6011,47
rainy,3845,120
windy,6034,45
snowy,9966,82
windy,9648,61
rainy,1053,70
sunny,7621,29
windy,1030,46
windy,6834,37
rainy,2321,58
windy,5904,74
snowy,3550,46
sunny,212,25
windy,7259,59
sunny,10041,41
rainy,5644,48
sunny,8991,42
windy,1452,19
rainy,1689,67
windy,1804,48
rainy,4906,88
windy,6538,43
windy,2577,43
rainy,4503,62
rainy,4602,82
sunny,6411,34
sunny,6394,42
windy,6447,61
sunny,1684,43
rainy,7424,104
rainy,230,86
windy,1592,46
sunny,8760,48
sunny,9803,16
sunny,2511,32
sunny,72,21
snowy,4607,56
sunny,7607,44
sunny,2763,20
rainy,172,79
snowy,8736,102
rainy,4156,84
windy,5222,39
windy,2088,21
windy,574,42
windy,926,23
snowy,3800,65
rainy,5348,91
windy,4238,16
rainy,1089,140
rainy,6076,90
sunny,1560,10
sunny,1189,74
snowy,4184,36
windy,701,38
snowy,6219,65
windy,7534,51
rainy,4951,69
sunny,8909,44
windy,7563,20
snowy,6520,12
sunny,4126,20
rainy,781,76
windy,3182,36
sunny,9215,26
snowy,4009,49
sunny,4384,67
snowy,9903,71
rainy,4813,74
rainy,6419,93
rainy,7680,81
rainy,1897,68
sunny,6865,60
rainy,6416,74
windy,9122,32
rainy,5299,105
windy,4196,52
sunny,1180,50
windy,539,49
rainy,7764,80
snowy,9616,61
sunny,9255,8
sunny,1431,20
sunny,65,42
sunny,48,29
snowy,3006,56
snowy,1538,41
sunny,9293,39
snowy,9638,64
windy,4616,48
sunny,9182,17
rainy,9072,98
windy,6205,27
snowy,3769,58
windy,3433,23
windy,5769,32
snowy,7904,67
windy,8923,66
rainy,3360,81
sunny,294,33
windy,160,57
snowy,6685,53
rainy,7868,89
sunny,5924,40
windy,7745,48
sunny,7713,43
windy,5779,29
sunny,6062,51
sunny,1415,43
windy,8606,34
snowy,2015,72
windy,564,32
windy,8036,36
sunny,573,14
windy,9050,6
sunny,1238,50
snowy,6884,76
windy,1754,47
sunny,1314,23
snowy,4742,62
windy,6709,21
snowy,10029,67
windy,4396,39
rainy,4665,86
rainy,2057,80
rainy,6202,62
windy,1359,30
snowy,8510,64
windy,7173,44
windy,8446,40
rainy,7138,88
rainy,5897,74
sunny,4614,56
rainy,5414,76
windy,5489,30
sunny,7553,18
windy,7616,39
windy,19,53
snowy,4677,56
sunny,5166,18
sunny,6625,20
windy,7749,47
rainy,7094,77
windy,9902,49
windy,7244,24
windy,9852,30
sunny,7963,43
snowy,2393,81
snowy,4380,47
snowy,2969,58
windy,1098,116
sunny,968,19
sunny,2237,14
rainy,4222,63
sunny,9256,16
snowy,6904,64
snowy,180,70
rainy,9094,81
sunny,8301,13
windy,5536,30
rainy,4373,84
snowy,7913,48
windy,8835,76
snowy,5981,62
snowy,4038,66
sunny,7060,49
windy,3048,50
sunny,5132,15
windy,1120,99
snowy,6910,60
snowy,5354,58
windy,412,28
rainy,4478,91
sunny,3741,54
snowy,1151,109
windy,8458,54
snowy,7230,53
snowy,1723,50
windy,6690,34
rainy,2214,87
windy,8496,25
windy,7423,39
rainy,94,136
windy,8140,22
snowy,1001,77
windy,5581,26
rainy,9675,72
rainy,8543,99
sunny,5662,12
snowy,1566,56
windy,6507,53
snowy,6512,72
rainy,10043,94
sunny,815,32
windy,343,23
windy,5462,52
sunny,6715,29
rainy,4603,86
snowy,4839,46
snowy,5823,66
windy,3125,26
rainy,3652,84
windy,198,54
windy,7026,37
windy,9041,34
windy,8878,37
windy,4756,31
sunny,4915,35
windy,1605,55
windy,4531,57
rainy,4502,62
windy,8449,16
windy,5892,43
sunny,3139,36
sunny,6306,39
windy,9940,53
windy,5144,43
windy,2443,77
snowy,4259,37
snowy,6736,50
windy,4311,53
sunny,516,55
rainy,6887,102
windy,9063,46
rainy,7754,81
rainy,3472,77
windy,9264,48
windy,7651,31
rainy,9935,50
rainy,7627,77
rainy,3503,87
rainy,8673,76
sunny,8809,30
snowy,5889,66
sunny,831,30
windy,7474,52
sunny,4716,43
snowy,3890,51
sunny,4976,29
windy,3618,33
snowy,9940,43
rainy,4959,67
snowy,1297,58
rainy,4245,78
rainy,3555,69
snowy,7611,49
windy,6843,56
windy,2468,30
sunny,9396,8
windy,3052,58
sunny,10032,24
snowy,852,54
windy,5679,64
rainy,7421,84
sunny,8795,34
sunny,2879,0
rainy,5978,51
snowy,1576,55
snowy,4550,61
sunny,1819,30
rainy,9277,89
sunny,756,77
windy,8901,26
snowy,2465,76
rainy,3876,77
rainy,9868,79
snowy,5217,30
rainy,7602,73
windy,4055,55
rainy,7492,60
windy,1394,32
snowy,184,83
rainy,3672,99
rainy,9857,63
rainy,548,74
rainy,3100,65
rainy,7348,81
sunny,6562,25
rainy,1561,84
rainy,5888,70
rainy,5441,83
snowy,7912,46
snowy,6674,85
snowy,9750,55
windy,5037,38
rainy,6217,88
rainy,1391,51
windy,8067,55
sunny,9963,19
windy,7945,26
windy,981,59
sunny,1556,27
rainy,6187,98
sunny,8026,21
sunny,2210,20
sunny,5329,43
sunny,9213,11
snowy,6450,50
rainy,644,85
sunny,1379,13
windy,7672,39
rainy,3817,97
sunny,4473,29
rainy,3681,68
rainy,5578,102
rainy,7810,83
windy,1284,21
snowy,3963,77
windy,9777,57
sunny,3660,35
snowy,201,51
windy,8593,45
windy,9624,33
windy,5166,33
windy,3304,43
snowy,9200,57
rainy,328,82
sunny,6690,42
sunny,9248,13
rainy,4491,71
snowy,7176,42
windy,5609,20
windy,1955,24
snowy,7609,71
snowy,5236,66
windy,585,35
snowy,8764,31
windy,1053,50
rainy,1391,43
sunny,8525,29
windy,4867,10
rainy,898,84
windy,4334,35
sunny,5014,37
windy,6916,42
sunny,1803,13
sunny,6175,30
rainy,4436,70
windy,7885,14
sunny,4390,33
sunny,4369,30
windy,3904,19
sunny,8889,42
snowy,557,69
sunny,8901,13
rainy,3576,76
snowy,1997,65
sunny,3225,38
sunny,3058,26
snowy,2350,60
snowy,4276,60
rainy,6144,80
sunny,1665,19
rainy,3621,101
snowy,5473,90
windy,8777,23
rainy,1149,128
snowy,5861,36
windy,8946,48
windy,9154,30
sunny,9753,18
windy,6925,21
windy,368,19
windy,9839,37
rainy,7828,100
rainy,6268,99
windy,5292,39
rainy,1573,61
sunny,9838,29
rainy,94,61
snowy,4989,61
windy,5170,31
sunny,1294,14
sunny,6804,46
sunny,8197,38
rainy,534,66
sunny,9328,21
sunny,6423,26
sunny,3844,41
snowy,6099,52
windy,2225,40
windy,9210,17
sunny,8792,32
snowy,1268,75
windy,6311,44
rainy,7514,82
sunny,3367,23
windy,8492,45
